iter	Passed	Remaining
0	49	49235
1	50	25068
2	50	16927
3	52	12999
4	54	10748
5	54	9072
6	55	7862
7	56	6946
8	56	6233
9	57	5662
10	57	5197
11	58	4811
12	59	4503
13	59	4224
14	60	3982
15	61	3768
16	61	3580
17	62	3407
18	63	3254
19	63	3115
20	64	2990
21	64	2876
22	65	2772
23	65	2680
24	66	2598
25	67	2518
26	67	2444
27	68	2375
28	69	2311
29	69	2254
30	70	2197
31	70	2142
32	71	2091
33	71	2043
34	72	1998
35	73	1955
36	73	1916
37	74	1879
38	74	1842
39	75	1807
40	75	1775
41	76	1744
42	77	1714
43	77	1687
44	78	1659
45	78	1633
46	79	1607
47	79	1582
48	80	1558
49	80	1535
50	81	1513
51	81	1492
52	82	1475
53	83	1455
54	83	1435
55	84	1416
56	84	1398
57	85	1380
58	85	1363
59	85	1346
60	86	1330
61	86	1315
62	87	1300
63	87	1285
64	88	1271
65	88	1257
66	89	1242
67	89	1225
68	89	1211
69	90	1197
70	90	1184
71	90	1171
72	91	1158
73	91	1147
74	92	1135
75	92	1124
76	92	1112
77	93	1101
78	93	1090
79	93	1080
80	94	1070
81	94	1060
82	95	1050
83	95	1040
84	95	1029
85	95	1019
86	96	1008
87	96	999
88	96	990
89	97	981
90	97	972
91	97	964
92	97	955
93	98	947
94	98	939
95	98	931
96	99	923
97	99	916
98	99	908
99	100	901
100	100	893
101	100	885
102	100	878
103	101	871
104	101	865
105	101	858
106	102	851
107	102	844
108	102	837
109	102	831
110	102	824
111	103	818
112	103	811
113	103	805
114	103	799
115	104	793
116	104	787
117	104	781
118	104	775
119	104	769
120	105	764
121	105	758
122	105	752
123	105	746
124	105	741
125	106	736
126	106	731
127	106	726
128	106	721
129	107	716
130	107	711
131	107	707
132	107	702
133	107	697
134	108	693
135	108	688
136	108	684
137	108	680
138	109	675
139	109	671
140	109	667
141	109	663
142	110	659
143	110	655
144	110	651
145	110	647
146	110	643
147	111	640
148	111	636
149	111	632
150	111	629
151	112	625
152	112	621
153	112	618
154	112	614
155	113	611
156	113	608
157	113	604
158	113	601
159	113	598
160	114	594
161	114	591
162	114	588
163	114	585
164	115	582
165	115	579
166	115	576
167	115	574
168	116	571
169	116	568
170	116	565
171	116	562
172	117	560
173	117	557
174	117	554
175	117	552
176	118	549
177	118	546
178	118	544
179	118	541
180	118	538
181	119	535
182	119	533
183	119	530
184	119	527
185	120	525
186	120	522
187	120	520
188	120	518
189	120	515
190	121	513
191	121	510
192	121	508
193	121	506
194	122	503
195	122	501
196	122	499
197	122	497
198	122	494
199	123	492
200	123	490
201	123	488
202	123	486
203	124	484
204	124	482
205	124	480
206	124	478
207	124	475
208	125	473
209	125	471
210	125	469
211	126	468
212	126	466
213	126	464
214	126	462
215	127	460
216	127	459
217	127	457
218	127	455
219	127	453
220	128	452
221	128	450
222	128	448
223	129	446
224	129	445
225	129	443
226	129	441
227	129	440
228	130	438
229	130	436
230	130	434
231	130	433
232	131	431
233	131	429
234	131	428
235	131	426
236	131	424
237	132	423
238	132	421
239	132	420
240	132	418
241	133	416
242	133	415
243	133	413
244	133	412
245	134	410
246	134	409
247	134	407
248	134	406
249	134	404
250	135	403
251	135	401
252	135	400
253	135	398
254	135	397
255	136	395
256	136	394
257	136	393
258	136	391
259	137	390
260	137	388
261	137	387
262	137	386
263	138	384
264	138	383
265	138	382
266	138	380
267	138	379
268	139	378
269	139	376
270	139	375
271	139	374
272	140	372
273	140	371
274	140	370
275	140	369
276	140	367
277	141	366
278	141	365
279	141	364
280	141	362
281	142	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	354
