iter	Passed	Remaining
0	50	50004
1	50	25149
2	50	16919
3	51	12767
4	51	10276
5	52	8614
6	52	7432
7	52	6541
8	53	5848
9	53	5293
10	53	4839
11	54	4461
12	54	4149
13	55	3879
14	55	3639
15	55	3429
16	56	3251
17	56	3082
18	56	2931
19	57	2801
20	57	2689
21	58	2581
22	58	2483
23	58	2392
24	59	2310
25	59	2233
26	60	2162
27	60	2097
28	60	2035
29	61	1978
30	61	1924
31	61	1874
32	62	1827
33	62	1783
34	63	1760
35	66	1787
36	66	1743
37	67	1702
38	67	1663
39	67	1626
40	68	1590
41	68	1557
42	68	1525
43	68	1494
44	69	1465
45	69	1437
46	69	1410
47	69	1384
48	70	1360
49	70	1338
50	70	1315
51	70	1293
52	71	1274
53	71	1256
54	72	1239
55	72	1226
56	73	1210
57	73	1194
58	73	1178
59	74	1163
60	74	1148
61	74	1133
62	77	1153
63	79	1158
64	80	1162
65	81	1147
66	81	1132
67	81	1118
68	81	1104
69	82	1091
70	82	1077
71	82	1065
72	82	1052
73	83	1040
74	90	1112
75	91	1117
76	92	1107
77	92	1096
78	93	1086
79	94	1089
80	94	1077
81	95	1066
82	95	1053
83	95	1043
84	97	1047
85	97	1037
86	97	1027
87	98	1017
88	98	1007
89	98	998
90	98	988
91	101	998
92	101	992
93	101	983
94	102	974
95	102	968
96	103	960
97	103	955
98	104	947
99	104	939
100	105	936
101	105	931
102	106	927
103	106	920
104	107	914
105	107	907
106	108	901
107	108	895
108	108	889
109	109	883
110	109	878
111	110	872
112	110	866
113	110	861
114	111	856
115	111	850
116	111	844
117	112	839
118	114	848
119	114	842
120	115	836
121	115	830
122	116	833
123	117	827
124	117	825
125	118	822
126	118	816
127	119	811
128	119	806
129	119	800
130	121	805
131	121	801
132	123	805
133	124	802
134	124	800
135	127	811
136	127	806
137	132	829
138	133	826
139	134	823
140	134	818
141	134	812
142	135	812
143	135	807
144	136	802
145	136	798
146	140	814
147	141	811
148	141	807
149	141	803
150	142	799
151	142	795
152	143	792
153	143	788
154	143	784
155	144	781
156	144	777
157	145	773
158	145	770
159	146	767
160	146	762
161	146	758
162	147	755
163	147	751
164	147	748
165	148	744
166	148	740
167	148	737
168	149	734
169	149	730
170	149	727
171	150	724
172	150	720
173	151	717
174	151	714
175	151	711
176	152	708
177	152	705
178	153	703
179	153	700
180	154	697
181	154	696
182	155	695
183	156	692
184	156	689
185	156	686
186	158	688
187	159	686
188	159	683
189	159	680
190	159	677
191	160	674
192	160	671
193	160	668
194	161	665
195	161	662
196	161	659
197	161	656
198	162	653
199	162	650
200	162	647
201	163	644
202	163	641
203	163	638
204	164	636
205	164	633
206	164	630
207	164	628
208	165	625
209	165	622
210	165	619
211	166	617
212	166	614
213	166	612
214	166	609
215	167	606
216	167	604
217	167	601
218	168	599
219	168	598
220	169	596
221	170	596
222	170	594
223	170	592
224	171	590
225	172	589
226	172	587
227	172	585
228	175	590
229	175	589
230	177	592
231	178	590
232	178	588
233	178	585
234	179	583
235	179	581
236	179	578
237	180	576
238	180	574
239	182	579
240	183	577
241	183	574
242	184	573
243	184	571
244	184	569
245	186	572
246	187	570
247	188	571
248	188	568
249	188	566
250	190	567
251	190	565
252	191	564
253	191	562
254	191	560
255	192	558
256	192	556
257	192	554
258	193	552
259	193	550
260	193	548
261	193	546
262	194	544
263	194	542
264	194	540
265	195	538
266	195	536
267	195	534
268	195	532
269	196	530
270	196	528
271	196	526
272	197	524
273	197	522
274	197	521
275	197	519
276	198	517
277	198	515
278	198	513
279	199	511
280	199	510
281	199	508
282	199	506
283	200	504
284	200	503
285	200	501
286	201	499
287	201	497
288	201	496
289	201	494
290	202	492
291	202	491
292	202	489
293	203	489
294	204	487
295	204	486
296	204	485
297	205	483
298	205	482
299	206	481
300	206	479
301	207	478
302	207	477
303	207	476
304	208	474
305	208	473
306	209	472
307	209	471
308	210	469
309	217	483
310	219	486
311	220	485
312	220	484
313	220	482
314	221	482
315	222	481
316	223	480
317	223	480
318	224	479
319	225	478
320	225	477
321	226	476
322	226	475
323	227	473
324	227	472
325	227	470
326	229	471
327	229	471
328	230	469
329	230	468
330	230	466
331	232	467
332	234	468
333	234	467
334	234	465
335	234	464
336	235	463
337	235	462
338	236	461
339	236	459
340	237	458
341	237	457
342	238	456
343	238	454
344	239	453
345	239	452
346	239	451
347	240	449
348	240	448
349	240	447
350	241	446
351	241	444
352	241	443
353	242	442
354	242	441
355	243	439
356	243	438
357	243	437
358	244	436
359	244	434
360	244	433
361	245	432
362	245	430
363	245	429
364	246	428
365	246	426
366	246	425
367	246	424
368	248	424
369	248	423
370	249	422
371	249	421
372	250	421
373	251	420
374	251	419
375	251	418
376	252	416
377	252	415
378	252	414
379	253	413
380	253	411
381	253	410
382	254	409
383	254	408
384	254	406
385	254	405
386	255	404
387	255	403
388	255	401
389	256	401
390	256	400
391	257	399
392	257	398
393	258	397
394	258	396
395	259	395
396	259	394
397	259	393
398	260	392
399	260	391
400	261	390
401	264	393
402	264	392
403	265	391
404	266	391
405	267	391
406	268	390
407	268	389
408	273	395
409	273	394
410	274	392
411	274	391
412	276	392
413	276	391
414	276	389
415	277	389
416	278	389
417	280	389
418	280	388
419	280	387
420	280	386
421	281	385
422	281	384
423	281	382
424	282	381
425	282	380
426	282	379
427	283	378
428	283	377
429	283	376
430	284	375
431	284	374
432	284	373
433	285	371
434	285	370
435	285	369
436	286	368
437	286	367
438	286	366
439	286	365
440	287	364
441	287	362
442	287	361
443	288	360
444	288	359
445	288	358
446	288	357
447	289	356
448	289	355
449	289	354
450	290	353
451	290	351
452	290	350
453	290	349
454	291	348
455	291	347
456	291	346
457	292	345
458	292	344
459	292	343
460	292	342
461	293	341
462	293	340
463	294	339
464	295	339
465	295	338
466	296	338
467	296	337
468	297	336
469	298	336
470	298	335
471	299	334
472	299	333
473	299	332
474	300	331
475	300	331
476	301	330
477	301	329
478	301	328
479	302	327
480	302	326
481	302	325
482	302	324
483	303	323
484	303	322
485	303	321
486	304	320
487	304	319
488	304	318
489	305	317
490	305	316
491	305	315
492	306	314
493	306	313
494	306	312
495	306	311
496	307	310
497	307	309
498	307	308
499	308	308
500	308	307
501	315	313
502	316	312
503	316	311
504	316	310
505	317	309
506	317	308
507	317	307
508	318	306
509	318	306
510	326	312
511	326	311
512	327	310
513	327	309
514	327	308
515	328	307
516	328	306
517	328	305
518	329	305
519	329	304
520	329	303
521	330	302
522	330	301
523	332	301
524	332	300
525	332	299
526	332	298
527	333	297
528	333	297
529	333	296
530	334	295
531	334	294
532	334	293
533	335	292
534	335	291
535	335	290
536	336	289
537	336	289
538	337	288
539	337	287
540	343	291
541	344	291
542	345	290
543	345	289
544	345	288
545	346	287
546	346	287
547	347	286
548	348	285
549	348	285
550	349	284
551	349	283
552	349	282
553	349	281
554	350	280
555	350	279
556	350	278
557	351	278
558	351	277
559	351	276
560	351	275
561	352	274
562	352	273
563	352	272
564	353	271
565	353	270
566	353	270
567	353	269
568	354	268
569	354	267
570	354	266
571	355	265
572	355	264
573	355	263
574	355	263
575	356	262
576	356	261
577	356	260
578	357	259
579	357	258
580	357	257
581	357	257
582	358	256
583	358	255
584	359	254
585	360	254
586	360	253
587	361	253
588	361	252
589	361	251
590	362	250
591	362	249
592	362	249
593	363	248
594	363	247
595	364	246
596	364	246
597	364	245
598	365	244
599	366	244
600	367	243
601	367	243
602	368	242
603	368	241
604	368	240
605	369	240
606	370	239
607	371	239
608	373	239
609	374	239
610	375	238
611	375	238
612	376	237
613	377	237
614	377	236
615	377	235
616	379	235
617	380	234
618	380	234
619	381	234
620	382	233
621	383	232
622	383	232
623	384	231
624	384	230
625	385	230
626	385	229
627	385	228
628	386	227
629	386	226
630	386	226
631	387	225
632	387	224
633	387	223
634	388	223
635	388	222
636	388	221
637	389	220
638	389	220
639	390	219
640	390	218
641	390	218
642	391	217
643	391	216
644	392	215
645	392	215
646	393	214
647	393	213
648	393	212
649	393	212
650	394	211
651	394	210
652	394	209
653	395	209
654	395	208
655	395	207
656	396	206
657	396	205
658	396	205
659	396	204
660	397	203
661	397	202
662	397	202
663	398	201
664	398	200
665	398	199
666	399	199
667	399	198
668	399	197
669	400	197
670	400	196
671	400	195
672	401	194
673	401	194
674	401	193
675	402	192
676	402	192
677	402	191
678	403	190
